RANK_2025,RANK_2024,Institution_Name,Location,Region,SIZE,FOCUS,RES.,STATUS,Academic_Reputation_Score,Academic_Reputation_Rank,Employer_Reputation_Score,Employer_Reputation_Rank,Faculty_Student_Score,Faculty_Student_Rank,Citations_per_Faculty_Score,Citations_per_Faculty_Rank,International_Faculty_Score,International_Faculty_Rank,International_Students_Score,International_Students_Rank,International_Research_Network_Score,International_Research_Network_Rank,Employment_Outcomes_Score,Employment_Outcomes_Rank,Sustainability_Score,Sustainability_Rank,Overall_Score
1201-1400,1201-1400,Universidad Nacional de R_ Cuarto - UNRC,Argentina,Americas,L,CO,MD,A,4.1,601+,1.6,601+,33.2,477,1.4,701+,,,,,10.7,701+,1.3,701+,1,701+,
1201-1400,1201-1400,Universidad Nacional de San Mart_ (UNSAM),Argentina,Americas,L,CO,HI,A,11.3,601+,2.7,601+,6.2,701+,2.2,701+,1.6,701+,3.7,701+,24.5,701+,1.2,701+,1.1,701+,
1201-1400,1201-1400,Universidad Nacional del Litoral,Argentina,Americas,XL,CO,HI,A,12.7,601+,5.7,601+,2.2,701+,2.5,701+,5,701+,1.2,701+,24.5,701+,3.7,701+,5.1,701+,
1201-1400,1401+,Universidad Nacional del Sur,Argentina,Americas,L,FC,HI,A,6.7,601+,2,601+,17.8,701+,1.7,701+,,,,,27.2,701+,2.9,701+,1.2,701+,
1201-1400,1001-1200,"Universidad Nacional, Costa Rica",Costa Rica,Americas,L,CO,MD,A,10.2,601+,10.5,601+,12.1,701+,1.5,701+,9.7,701+,2.3,701+,17.2,701+,4.7,701+,1,701+,
1201-1400,1001-1200,Universidad Peruana de Ciencias Aplicadas,Peru,Americas,XL,FO,HI,B,11.3,601+,22.6,415,3,701+,1.1,701+,13.6,693,1.5,701+,8,701+,3.9,701+,1.1,701+,
1201-1400,1201-1400,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,Americas,XL,FC,HI,A,9.5,601+,5.1,601+,17.4,701+,2.5,701+,3.5,701+,1.2,701+,35.7,701+,18.2,598,1.3,701+,
1201-1400,1201-1400,Universidade Federal da Bahia,Brazil,Americas,XL,FC,HI,A,9,601+,2.7,601+,8.5,701+,3.1,701+,5.1,701+,1.4,701+,48.8,701+,12.4,701+,2.5,701+,
1201-1400,1201-1400,Universidade Federal de Juiz de Fora- (UFJF),Brazil,Americas,L,CO,VH,A,3.8,601+,2,601+,30.3,517,2.8,701+,,,,,35.2,701+,1.3,701+,1,701+,
1201-1400,1201-1400,Universidade Federal de Pelotas ,Brazil,Americas,L,CO,VH,A,4.7,601+,1.3,601+,26,571,4.7,701+,,,1.3,701+,21.7,701+,1.3,701+,1.3,701+,
1201-1400,1201-1400,Universidade Federal de Santa Maria,Brazil,Americas,L,FC,HI,A,6.4,601+,1.5,601+,17.5,701+,5.2,701+,2.5,701+,1.4,701+,37.9,701+,6.3,701+,11.5,632=,
1201-1400,1201-1400,Universidade Federal de Vi_sa (UFV),Brazil,Americas,L,FC,HI,A,5.1,601+,2.4,601+,10.9,701+,7.8,701+,2.4,701+,1.9,701+,20.2,701+,3.8,701+,1.3,701+,
1201-1400,1201-1400,Universidade Federal do Cear (UFC),Brazil,Americas,XL,FC,HI,A,7.4,601+,2.8,601+,6.3,701+,5.3,701+,1.3,701+,1.2,701+,43.4,701+,3.7,701+,2,701+,
1201-1400,1401+,Universidade Federal do Rio Grande Do Norte,Brazil,Americas,XL,FC,HI,A,5.2,601+,1.2,601+,9.5,701+,3.4,701+,,,,,45,701+,1.3,701+,1.4,701+,
1201-1400,1201-1400,Universidade Presbiteriana Mackenzie,Brazil,Americas,M,CO,HI,B,3.5,601+,8.7,601+,12.3,701+,2.1,701+,2.4,701+,1.1,701+,12.5,701+,48.3,265,1,701+,
1201-1400,1201-1400,Universit degli studi di Bergamo,Italy,Europe,L,FO,VH,A,5.7,601+,2.4,601+,1.9,701+,6.5,701+,4.3,701+,6.7,701+,27.8,701+,4.3,701+,1.2,701+,
1201-1400,1201-1400,Universitas Islam Indonesia,Indonesia,Asia,L,CO,HI,B,11.2,601+,4.9,601+,2,701+,1.8,701+,2.2,701+,1.2,701+,10.7,701+,3.9,701+,1.3,701+,
1201-1400,1201-1400,Universitas Muhammadiyah Yogyakarta,Indonesia,Asia,L,FO,HI,B,6.6,601+,2.8,601+,3.2,701+,1.4,701+,57.9,331,1.9,701+,7.9,701+,2.3,701+,1.2,701+,
1201-1400,1201-1400,Universitas Pendidikan Indonesia,Indonesia,Asia,XL,FO,VH,A,10.9,601+,4.1,601+,12,701+,1.4,701+,13.2,701+,1.6,701+,13.1,701+,2.3,701+,3.3,701+,
1201-1400,1201-1400,Universitas Sumatera Utara,Indonesia,Asia,XL,FC,HI,A,8.8,601+,8,601+,24.9,595,1.3,701+,12.6,701+,2.5,701+,18.3,701+,5.5,701+,4.6,701+,
1201-1400,1201-1400,Universitatea de Vest din Timisoara / West University of Timisoara,Romania,Europe,L,FO,HI,A,9.2,601+,9.7,601+,4.7,701+,2.8,701+,1.6,701+,6.7,701+,27.5,701+,23.5,481,2.7,701+,
1201-1400,1201-1400,Universit de Limoges,France,Europe,M,SP,VH,,6.6,601+,2.3,601+,17.2,701+,5.5,701+,,,,,58.8,646,2.9,701+,1.1,701+,
1201-1400,1201-1400,Universit Jean Moulin Lyon 3,France,Europe,L,SP,VH,A,8.8,601+,5.2,601+,1.8,701+,2.3,701+,18.7,615,30.2,427,8.5,701+,4.4,701+,1,701+,
1201-1400,1001-1200,Universiti Kuala Lumpur (UniKL),Malaysia,Asia,L,FC,HI,C,6,601+,5.3,601+,32.7,483,2.2,701+,7.4,701+,3.9,701+,17.3,701+,3.9,701+,1,701+,
1201-1400,1001-1200,Universiti Malaysia Perlis,Malaysia,Asia,M,FO,VH,A,7.8,601+,5.1,601+,19.2,694,6.7,701+,1.8,701+,3.5,701+,31.1,701+,3.9,701+,2.8,701+,
1201-1400,1201-1400,Universiti Teknikal Malaysia Melaka,Malaysia,Asia,M,SP,VH,A,6.3,601+,5.7,601+,10.6,701+,5.8,701+,3.9,701+,4.8,701+,18.9,701+,3.9,701+,2.5,701+,
1201-1400,1201-1400,University of Babylon,Iraq,Asia,L,FC,HI,A,4.6,601+,9.8,601+,14.5,701+,2,701+,1.1,701+,1,701+,29.9,701+,4.3,701+,1.2,701+,
1201-1400,1201-1400,University of Basrah,Iraq,Asia,XL,FC,HI,A,5.5,601+,9.3,601+,18.4,701+,1.4,701+,1.3,701+,1.1,701+,33.7,701+,10,701+,1,701+,
1201-1400,1201-1400,University of Bialystok,Poland,Europe,M,FO,VH,A,5.4,601+,2.7,601+,24,609,2.6,701+,,,4.7,701+,28.6,701+,3.1,701+,1,701+,
